# Constructed from biom file
#OTU ID	ERR4264700	ERR4264711	ERR4264748	ERR4264769	ERR4264780	ERR4264831
903f529fbc9ed426adaa4d22d24c55cf	57.0	18.0	27.0	4.0	148.0	96.0
4be4adbf935db7e39d1d8fa2a7abc899	239.0	108.0	0.0	0.0	0.0	0.0
5930bc1fc0dd591dccf9b1c4059525f1	0.0	226.0	0.0	0.0	0.0	120.0
a1febccb3de9f2f3bb8f89df7a6de95d	0.0	0.0	0.0	0.0	345.0	0.0
03248d9f76da44fad718d1811d6539c9	0.0	342.0	0.0	0.0	0.0	0.0
cdb3ecaa2a150406e3fcd6d289539abf	0.0	0.0	0.0	341.0	0.0	0.0
430d7e9ed1902e911a6660ae3c1addd2	8.0	37.0	89.0	70.0	104.0	32.0
d300286553eeec338d91ef4ac6cc221c	0.0	96.0	0.0	52.0	156.0	33.0
cd25f42f5884836618d2aab6a7c647f2	0.0	0.0	0.0	332.0	0.0	0.0
43ffa2f73422317d16fc0db7c2527a27	79.0	0.0	0.0	0.0	0.0	246.0
4bcdb8d806d9b6eff4e5b14dd677d7fd	51.0	60.0	0.0	5.0	15.0	190.0
90f79def61a951123239ce0bfdbd9325	70.0	74.0	38.0	11.0	33.0	94.0
b6ca57b9cf5e2d88922807a1cc3e237b	47.0	186.0	0.0	5.0	0.0	81.0
17a84710f465dd4c69c8c0d136bbe18e	318.0	0.0	0.0	0.0	0.0	0.0
354acc009b4d5743f420af8925691527	89.0	67.0	48.0	0.0	54.0	55.0
621268e3a0a32d094d474339208cbf65	39.0	28.0	67.0	0.0	36.0	139.0
460f5f0f3823fcfcfd31a0c17dafbb87	0.0	0.0	0.0	17.0	292.0	0.0
d5335e2a06ec55ef5bc84aaa293315cc	0.0	0.0	0.0	0.0	308.0	0.0
bf39af6ebb0d9cb5a339a5b2511a307f	0.0	0.0	0.0	0.0	0.0	302.0
f061d73e3a78e8b9a08b3fa7e06671a1	0.0	0.0	46.0	0.0	103.0	152.0
dd5ce8d0b040693d540cb5aaf1b9fb3b	71.0	72.0	29.0	7.0	54.0	66.0
5121ad81fb2dcea537ef94f07a27a53d	92.0	0.0	110.0	0.0	93.0	0.0
9ec0ffc3156b687aca06c8ec131624b7	45.0	157.0	0.0	0.0	0.0	85.0
52230cf9b3a1eb1a7e7d3aa6a9f531e7	0.0	0.0	136.0	0.0	0.0	145.0
0c482c12d6c5e0998ca8847694f5fcaa	0.0	21.0	0.0	0.0	0.0	244.0
a5733a2e2baba000471386d88ed13a8a	0.0	0.0	264.0	0.0	0.0	0.0
955da1e20a156bda20a6fac097debada	23.0	23.0	65.0	0.0	152.0	0.0
7c3cc6005da2f728eacac44a313594cc	212.0	0.0	45.0	0.0	0.0	0.0
a14c1d1c413a01a954331369558ce868	147.0	56.0	0.0	0.0	0.0	52.0
0c57cbc69a7e8b54adf2dbb8f8b32ea8	0.0	0.0	0.0	0.0	250.0	0.0
4a8a9f963e44bf08225fa5690c51fce9	24.0	60.0	33.0	31.0	60.0	40.0
e46823f7f7396811a308067db5060a3d	0.0	0.0	0.0	0.0	0.0	243.0
dbeb9acc3f47f296be13113ed1bddb9a	158.0	0.0	84.0	0.0	0.0	0.0
5bfd7f5a0e47ccc3dda16245be71d696	0.0	0.0	242.0	0.0	0.0	0.0
c077ac129ab114ca70a368e9c02d5390	0.0	0.0	62.0	0.0	98.0	79.0
e2695b847c1b1283138b3057d93a354d	0.0	0.0	0.0	0.0	237.0	0.0
856664cf057bd53e8be93f260dc6007c	0.0	235.0	0.0	0.0	0.0	0.0
5cb20ec93e8b54a86e07c4b2120beecc	197.0	0.0	37.0	0.0	0.0	0.0
8708d23c14f781b000c66c36131e2fc0	232.0	0.0	0.0	0.0	0.0	0.0
